,#,Pick,Name,Pos,Team,Bye,Overall,Std.Dev,High,Low,TimesDrafted,Graph
0,1,2.08,Josh Allen,QB,BUF,7,18.2,6.0,1.05,3.04,51,"

"
1,2,4.02,Justin Herbert,QB,LAC,8,32.0,3.4,2.08,4.01,58,"

"
2,3,4.08,Patrick Mahomes,QB,KC,8,38.4,4.8,3.02,4.11,79,"

"
3,4,5.02,Joe Burrow,QB,CIN,10,42.4,8.9,3.07,5.08,34,"

"
4,5,5.10,Lamar Jackson,QB,BAL,10,50.4,5.3,3.06,6.02,74,"

"
5,6,6.05,Jalen Hurts,QB,PHI,7,55.3,5.5,3.12,6.03,76,"

"
6,7,6.09,Kyler Murray,QB,ARI,13,59.1,4.4,4.08,6.07,27,"

"
7,8,8.01,Russell Wilson,QB,DEN,9,71.1,6.6,5.08,8.01,89,"

"
8,9,8.08,Aaron Rodgers,QB,GB,14,78.3,9.6,5.04,8.09,39,"

"
9,10,9.05,Dak Prescott,QB,DAL,9,85.3,9.7,5.09,9.03,61,"

"
10,11,9.06,Tom Brady,QB,TB,11,86.1,9.4,4.04,9.04,68,"

"
11,12,9.06,Matthew Stafford,QB,LAR,7,86.1,8.0,6.06,9.07,50,"

"
12,13,10.04,Trey Lance,QB,SF,9,93.6,9.4,6.02,10.06,78,"

"
13,14,10.09,Derek Carr,QB,LV,6,99.4,8.2,7.01,10.11,77,"

"
14,15,11.05,Kirk Cousins,QB,MIN,7,105.2,10.2,5.09,11.04,88,"

"
15,16,12.03,Tua Tagovailoa,QB,MIA,11,113.5,8.2,8.09,13.03,41,"

"
16,17,14.02,Matt Ryan,QB,IND,14,132.0,13.3,9.01,13.08,61,"

"
17,18,14.07,Justin Fields,QB,CHI,14,136.9,12.6,10.06,14.05,38,"

"
18,19,15.01,Trevor Lawrence,QB,JAX,11,141.3,12.5,8.11,14.12,92,"

"
19,20,15.08,Jameis Winston,QB,NO,14,148.0,14.8,7.11,15.09,67,"

"
20,21,17.08,Mac Jones,QB,NE,10,167.6,24.3,7.12,18.01,27,"

"
21,22,18.01,Baker Mayfield,QB,CAR,13,171.2,18.8,11.07,18.06,43,"

"
22,23,19.02,Deshaun Watson,QB,CLE,9,181.7,15.6,12.09,18.06,38,"

"
23,24,19.04,Ryan Tannehill,QB,TEN,6,183.6,18.4,11.04,18.05,35,"

"
