,#,Pick,Name,Pos,Team,Bye,Overall,Std.Dev,High,Low,TimesDrafted,Graph
0,1,1.01,Jonathan Taylor,RB,IND,14,1.3,0.5,1.01,1.03,123,"

"
1,2,1.02,Christian McCaffrey,RB,CAR,13,2.0,0.5,1.01,1.03,46,"

"
2,3,1.04,Austin Ekeler,RB,LAC,8,3.6,0.9,1.02,1.06,81,"

"
3,4,1.04,Derrick Henry,RB,TEN,6,4.0,1.2,1.01,1.07,87,"

"
4,5,1.06,Najee Harris,RB,PIT,9,6.2,2.4,1.01,1.11,106,"

"
5,6,1.08,Dalvin Cook,RB,MIN,7,7.5,1.8,1.02,1.12,122,"

"
6,7,1.10,Joe Mixon,RB,CIN,10,10.3,1.7,1.04,2.01,73,"

"
7,8,1.11,D'Andre Swift,RB,DET,6,10.6,2.3,1.06,2.02,59,"

"
8,9,1.12,Alvin Kamara,RB,NO,14,11.7,2.7,1.04,2.08,115,"

"
9,10,2.03,Aaron Jones,RB,GB,14,15.4,2.4,1.08,2.10,86,"

"
10,11,2.04,Saquon Barkley,RB,NYG,9,16.1,3.2,1.06,2.11,140,"

"
11,12,2.06,Nick Chubb,RB,CLE,9,17.9,3.5,1.07,2.12,83,"

"
12,13,2.10,Javonte Williams,RB,DEN,9,21.6,2.9,1.12,3.03,126,"

"
13,14,2.10,Leonard Fournette,RB,TB,11,21.8,3.2,2.03,3.04,128,"

"
14,15,3.02,Ezekiel Elliott,RB,DAL,9,25.9,3.0,2.04,3.08,79,"

"
15,16,3.04,James Conner,RB,ARI,13,28.3,3.6,2.07,4.04,106,"

"
16,17,3.07,Cam Akers,RB,LAR,7,31.5,4.6,2.05,4.03,72,"

"
17,18,3.11,J.K. Dobbins,RB,BAL,10,34.9,3.5,3.01,4.05,38,"

"
18,19,3.11,Travis Etienne,RB,JAX,11,35.1,3.7,2.09,4.08,172,"

"
19,20,3.12,David Montgomery,RB,CHI,14,36.3,3.9,3.04,4.09,44,"

"
20,21,4.05,Elijah Mitchell,RB,SF,9,41.2,4.9,2.11,5.05,86,"

"
21,22,4.06,Breece Hall,RB,NYJ,10,42.1,5.5,3.03,5.02,72,"

"
22,23,4.08,Josh Jacobs,RB,LV,6,44.4,5.9,3.01,5.04,36,"

"
23,24,4.12,A.J. Dillon,RB,GB,14,48.4,4.6,3.07,5.08,99,"

"
24,25,5.03,Clyde Edwards-Helaire,RB,KC,8,51.2,3.8,4.05,5.11,72,"

"
25,26,5.07,Damien Harris,RB,NE,10,55.3,6.8,3.05,6.02,36,"

"
26,27,5.08,Miles Sanders,RB,PHI,7,56.4,6.9,4.06,6.07,50,"

"
27,28,6.03,Rashaad Penny,RB,SEA,11,63.2,5.1,5.03,7.02,92,"

"
28,29,6.05,Tony Pollard,RB,DAL,9,64.6,4.5,5.06,6.12,36,"

"
29,30,6.07,Kareem Hunt,RB,CLE,9,67.3,7.7,4.06,7.11,70,"

"
30,31,6.08,Devin Singletary,RB,BUF,7,68.1,8.1,4.11,8.01,40,"

"
31,32,6.11,Chase Edmonds,RB,MIA,11,71.5,8.1,4.09,7.12,129,"

"
32,33,7.04,Dameon Pierce,RB,HOU,6,75.6,9.0,4.05,8.11,249,"

"
33,34,7.04,Rhamondre Stevenson,RB,NE,10,76.1,6.0,5.09,8.01,98,"

"
34,35,8.01,Melvin Gordon,RB,DEN,9,84.6,5.1,6.06,9.02,63,"

"
35,36,8.08,James Cook,RB,BUF,7,91.5,6.5,6.10,9.08,73,"

"
36,37,8.10,Nyheim Hines,RB,IND,14,93.9,7.1,7.11,10.01,35,"

"
37,38,8.12,Kenneth Walker III,RB,SEA,11,96.2,10.4,5.08,10.07,65,"

"
38,39,9.04,Raheem Mostert,RB,MIA,11,100.4,9.9,7.09,10.06,40,"

"
39,40,9.08,Tyler Allgeier,RB,ATL,14,104.0,7.7,8.01,10.11,43,"

"
40,41,9.09,James Robinson,RB,JAX,11,105.0,7.9,8.01,10.09,49,"

"
41,42,9.10,Kenneth Gainwell,RB,PHI,7,105.7,8.0,8.07,10.12,55,"

"
42,43,9.11,J.D. McKissic,RB,WAS,14,107.3,10.4,7.10,10.09,24,"

"
43,44,10.06,Brian Robinson Jr.,RB,WAS,14,114.1,8.6,7.12,12.03,140,"

"
44,45,10.08,Michael Carter,RB,NYJ,10,116.3,7.9,8.04,11.09,65,"

"
45,46,10.10,Jamaal Williams,RB,DET,6,117.5,17.5,5.09,11.11,21,"

"
46,47,10.11,Darrell Henderson,RB,LAR,7,118.6,6.6,9.03,11.10,37,"

"
47,48,10.12,Isaih Pacheco,RB,KC,8,120.2,8.0,8.02,12.04,84,"

"
48,49,11.04,Rachaad White,RB,TB,11,123.7,6.2,9.12,12.01,31,"

"
49,50,11.04,Antonio Gibson,RB,WAS,14,123.9,23.1,5.10,15.09,98,"

"
50,51,12.02,Chuba Hubbard,RB,CAR,13,133.7,9.4,10.07,13.03,27,"

"
51,52,12.04,Zamir White,RB,LV,6,136.0,8.0,10.11,13.07,49,"

"
52,53,12.05,Alexander Mattison,RB,MIN,7,137.1,14.2,10.04,15.02,58,"

"
53,54,12.06,Isaiah Spiller,RB,LAC,8,138.3,14.8,9.02,14.06,20,"

"
54,55,12.09,Mark Ingram,RB,NO,14,140.6,9.9,10.09,14.07,25,"

"
55,56,13.08,Marlon Mack,RB,HOU,6,152.1,25.2,10.10,18.04,22,"

"
56,57,13.12,Trey Sermon,RB,SF,9,156.0,27.2,10.02,17.06,22,"

"
57,58,14.08,Tyrion Davis-Price,RB,SF,9,163.8,18.1,12.02,17.10,21,"

"
58,59,14.11,Gus Edwards,RB,BAL,10,166.9,21.7,12.02,18.05,21,"

"
59,60,14.11,Mike Davis,RB,BAL,10,167.4,19.8,11.11,18.06,47,"

"
60,61,15.03,Donta Foreman,RB,CAR,13,171.4,16.5,12.11,18.02,22,"

"
61,62,15.05,Ronald Jones II,RB,KC,8,173.0,20.7,12.05,18.01,26,"

"
62,63,16.01,Sony Michel,RB,MIA,11,180.7,17.2,12.11,18.06,20,"

"
63,64,16.02,Samaje Perine,RB,CIN,10,181.8,16.8,13.09,18.02,23,"

"
64,65,16.02,Eno Benjamin,RB,FA,12,182.3,17.4,13.12,18.02,28,"

"
