,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,2.05,Patrick Mahomes,QB,KC,19.3,5.7,1.01,3.04,352,"
"
1,2,4.05,Deshaun Watson,QB,HOU,47.1,7.1,2.10,6.04,273,"
"
2,3,4.14,Aaron Rodgers,QB,GB,55.7,7.6,1.01,6.09,249,"
"
3,4,5.07,Baker Mayfield,QB,CLE,63.2,9.3,1.01,7.08,219,"
"
4,5,5.13,Matt Ryan,QB,ATL,69.2,6.9,4.06,7.10,174,"
"
5,6,6.04,Drew Brees,QB,NO,73.9,8.0,1.03,8.07,202,"
"
6,7,6.05,Carson Wentz,QB,PHI,74.6,6.4,4.01,8.06,249,"
"
7,8,6.11,Jared Goff,QB,LAR,81.5,6.7,5.01,9.04,268,"
"
8,9,7.04,Russell Wilson,QB,SEA,88.4,11.0,3.05,10.08,203,"
"
9,10,7.10,Cam Newton,QB,CAR,94.4,9.9,2.12,10.07,295,"
"
10,11,7.14,Lamar Jackson,QB,BAL,97.6,10.3,3.06,10.10,358,"
"
11,12,8.07,Jameis Winston,QB,TB,105.1,8.4,7.06,11.08,298,"
"
12,13,8.09,Ben Roethlisberger,QB,PIT,106.8,9.1,6.07,11.06,367,"
"
13,14,8.13,Kyler Murray,QB,ARI,110.9,8.1,7.12,11.06,223,"
"
14,15,9.03,Tom Brady,QB,NE,114.6,13.0,1.03,12.02,210,"
"
15,16,9.04,Philip Rivers,QB,LAC,116.1,9.1,8.01,11.12,248,"
"
16,17,10.01,Dak Prescott,QB,DAL,127.2,10.2,6.08,13.06,249,"
"
17,18,10.05,Kirk Cousins,QB,MIN,130.7,10.0,9.01,13.05,196,"
"
18,19,10.13,Mitch Trubisky,QB,CHI,139.2,11.2,8.02,15.04,186,"
"
19,20,11.06,Josh Allen,QB,BUF,145.8,12.3,9.10,15.12,173,"
"
20,21,11.08,Jimmy Garoppolo,QB,SF,147.5,17.1,3.06,15.11,151,"
"
21,22,12.03,Derek Carr,QB,LV,157.4,14.5,9.12,15.12,118,"
"
22,23,12.07,Matthew Stafford,QB,DET,160.8,17.9,3.10,15.12,99,"
"
23,24,12.10,Sam Darnold,QB,NYJ,164.2,12.8,11.11,15.12,84,"
"
