,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,17.07,Justin Tucker,PK,BAL,135.4,16.8,5.01,14.10,922,"
"
1,2,18.03,Harrison Butker,PK,KC,138.7,17.7,6.05,14.07,548,"
"
2,3,18.04,Younghoe Koo,PK,ATL,139.6,16.0,6.08,15.07,312,"
"
3,4,18.05,Greg Zuerlein,PK,DAL,140.6,12.0,9.11,15.12,179,"
"
4,5,18.08,Jason Sanders,PK,MIA,143.9,15.4,10.02,16.05,176,"
"
5,6,19.02,Ryan Succop,PK,TB,146.5,16.5,10.02,16.08,167,"
"
6,7,19.04,Rodrigo Blankenship,PK,IND,148.5,14.8,10.01,16.01,97,"
"
7,8,19.06,Tyler Bass,PK,BUF,150.2,13.8,10.02,16.01,223,"
"
8,9,20.03,Matt Prater,PK,ARI,154.9,15.0,7.01,16.06,152,"
"
9,10,20.07,Mason Crosby,PK,GB,159.2,13.7,12.07,17.03,177,"
"
10,11,21.04,Matt Gay,PK,LAR,163.8,12.3,10.10,15.11,152,"
"
11,12,21.05,Robbie Gould,PK,SF,165.1,14.1,10.10,18.04,191,"
"
12,13,21.08,Wil Lutz,PK,NO,168.0,19.1,12.05,18.03,42,"
"
13,14,22.06,Daniel Carlson,PK,LV,173.7,18.0,10.12,18.02,47,"
"
14,15,22.06,Jason Myers,PK,SEA,174.0,14.7,12.06,18.04,130,"
"
