,#,Pick,Name,Pos,Team,Bye,Overall,Std.Dev,High,Low,TimesDrafted,Graph
0,1,2.07,Travis Kelce,TE,KC,8,14.9,2.8,1.06,2.08,54,"

"
1,2,4.02,Mark Andrews,TE,BAL,10,25.8,4.0,2.02,3.09,119,"

"
2,3,4.08,Kyle Pitts,TE,ATL,14,32.1,3.5,2.06,4.05,138,"

"
3,4,6.03,George Kittle,TE,SF,9,43.3,5.4,2.10,5.10,62,"

"
4,5,7.02,Darren Waller,TE,LV,6,50.3,4.8,4.01,6.03,62,"

"
5,6,8.08,Dalton Schultz,TE,DAL,9,64.0,5.9,4.11,7.01,52,"

"
6,7,10.04,Dallas Goedert,TE,PHI,7,75.6,8.0,4.11,8.03,57,"

"
7,8,12.03,Zach Ertz,TE,ARI,13,90.8,7.8,6.12,9.10,53,"

"
8,9,13.06,Pat Freiermuth,TE,PIT,9,101.6,7.4,7.08,10.11,48,"

"
9,10,14.01,Cole Kmet,TE,CHI,14,104.8,10.0,7.03,10.10,53,"

"
10,11,14.04,T.J. Hockenson,TE,DET,6,108.0,20.5,5.08,16.03,83,"

"
11,12,14.05,Mike Gesicki,TE,MIA,11,109.4,10.8,8.05,11.08,24,"

"
12,13,16.02,Dawson Knox,TE,BUF,7,122.0,11.6,7.05,13.02,70,"

"
13,14,17.03,Hunter Henry,TE,NE,10,130.7,12.5,8.11,13.10,30,"

"
14,15,18.07,Robert Tonyan Jr.,TE,GB,14,143.5,14.6,10.07,16.12,39,"

"
15,16,18.08,Irv Smith Jr.,TE,MIN,7,143.8,13.0,11.05,14.09,42,"

"
16,17,20.02,Albert Okwuegbunam,TE,DEN,9,154.2,18.4,9.08,17.06,59,"

"
17,18,22.01,Hayden Hurst,TE,CIN,10,168.8,17.7,11.06,17.12,48,"

"
18,19,22.04,Gerald Everett,TE,LAC,8,171.5,19.8,12.06,18.06,38,"

"
19,20,22.06,Tyler Higbee,TE,LAR,7,173.7,22.1,10.01,18.06,60,"

"
20,21,22.06,David Njoku,TE,CLE,9,174.3,18.9,11.08,18.04,109,"

"
