,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,1.02,Saquon Barkley,RB,NYG,1.9,0.8,1.01,1.04,185,"
"
1,2,1.02,Alvin Kamara,RB,NO,2.4,0.8,1.01,1.04,90,"
"
2,3,1.04,Christian McCaffrey,RB,CAR,3.6,1.1,1.01,1.06,112,"
"
3,4,1.04,Ezekiel Elliott,RB,DAL,3.8,1.0,1.01,1.06,67,"
"
4,5,1.06,James Conner,RB,PIT,6.1,1.6,1.01,1.12,79,"
"
5,6,1.07,LeVeon Bell,RB,NYJ,7.2,2.1,1.01,2.01,88,"
"
6,7,1.07,Nick Chubb,RB,CLE,7.2,2.0,1.04,2.03,105,"
"
7,8,2.01,Dalvin Cook,RB,MIN,10.6,2.1,1.02,2.03,115,"
"
8,9,2.01,Todd Gurley,RB,LAR,11.4,2.3,1.06,2.06,117,"
"
9,10,2.04,David Johnson,RB,ARI,14.2,4.4,1.05,3.03,225,"
"
10,11,2.06,Joe Mixon,RB,CIN,16.4,3.4,1.03,2.11,119,"
"
11,12,2.10,Leonard Fournette,RB,JAX,20.3,2.7,2.01,3.03,111,"
"
12,13,3.03,Chris Carson,RB,SEA,22.9,3.0,2.01,3.06,127,"
"
13,14,3.05,Damien Williams,RB,KC,24.6,3.0,2.05,3.10,66,"
"
14,15,3.05,Aaron Jones,RB,GB,25.5,3.7,1.10,3.09,112,"
"
15,16,3.08,Josh Jacobs,RB,LV,28.0,3.7,2.03,3.12,79,"
"
16,17,3.08,Kerryon Johnson,RB,DET,28.5,3.2,2.04,4.02,131,"
"
17,18,3.09,David Montgomery,RB,CHI,29.1,3.3,2.05,3.12,103,"
"
18,19,4.02,Devonta Freeman,RB,ATL,31.7,3.6,2.09,4.03,164,"
"
19,20,4.04,Sony Michel,RB,NE,33.8,3.0,2.12,4.08,153,"
"
20,21,4.05,Derrick Henry,RB,TEN,35.4,5.0,2.04,4.12,124,"
"
21,22,4.07,Mark Ingram,RB,BAL,37.5,3.5,2.11,4.12,117,"
"
22,23,4.10,Melvin Gordon,RB,LAC,40.3,5.6,2.11,5.02,60,"
"
23,24,5.02,Marlon Mack,RB,IND,41.5,4.2,3.03,5.05,134,"
"
24,25,5.07,Phillip Lindsay,RB,DEN,47.1,5.6,3.08,6.03,113,"
"
25,26,5.09,Tevin Coleman,RB,SF,48.7,5.4,3.12,6.07,106,"
"
26,27,5.09,Miles Sanders,RB,PHI,49.5,5.5,4.01,5.12,80,"
"
27,28,6.06,Austin Ekeler,RB,LAC,55.7,7.3,3.12,6.11,169,"
"
28,29,6.07,Duke Johnson,RB,HOU,57.1,5.5,4.03,7.01,126,"
"
29,30,7.03,Derrius Guice,RB,WAS,63.3,5.6,4.11,7.08,143,"
"
30,31,7.07,James White,RB,NE,66.6,8.5,3.11,7.10,95,"
"
31,32,8.01,Latavius Murray,RB,NO,70.6,6.7,5.05,8.03,116,"
"
32,33,8.08,Tony Pollard,RB,DAL,78.0,7.8,5.12,8.09,60,"
"
33,34,8.09,Kenyan Drake,RB,ARI,78.5,6.8,6.01,8.09,102,"
"
34,35,8.10,Darwin Thompson,RB,KC,79.5,7.2,6.08,8.10,29,"
"
35,36,9.02,Matt Breida,RB,SF,82.3,7.0,6.02,9.03,154,"
"
36,37,9.04,Tarik Cohen,RB,CHI,84.1,9.9,5.07,9.05,89,"
"
37,38,9.06,Devin Singletary,RB,BUF,86.4,12.8,4.12,9.10,192,"
"
38,39,10.01,LeSean McCoy,RB,KC,90.9,13.1,2.06,9.12,127,"
"
39,40,10.02,Rashaad Penny,RB,SEA,91.9,7.5,5.12,9.07,58,"
"
40,41,10.03,Darrell Henderson,RB,LAR,92.6,6.7,6.12,9.07,49,"
"
41,42,10.09,Jordan Howard,RB,PHI,98.8,9.2,6.03,10.02,42,"
"
42,43,11.02,Kareem Hunt,RB,CLE,102.2,9.7,6.09,10.09,42,"
"
43,44,11.08,Royce Freeman,RB,DEN,108.4,8.6,7.09,11.10,54,"
"
44,45,12.04,Adrian Peterson,RB,WAS,114.4,7.6,8.07,11.09,42,"
"
45,46,12.06,Peyton Barber,RB,TB,115.5,10.8,7.11,11.12,57,"
"
46,47,12.09,Justice Hill,RB,BAL,118.8,10.2,8.01,12.07,92,"
"
47,48,13.03,Justin Jackson,RB,LAC,123.3,11.2,8.09,12.12,136,"
"
48,49,13.07,Kalen Ballage,RB,MIA,127.5,8.9,9.12,13.03,73,"
"
49,50,13.09,Jaylen Samuels,RB,PIT,128.6,10.3,8.10,13.02,73,"
"
50,51,13.10,Alexander Mattison,RB,MIN,129.5,10.3,9.03,13.03,81,"
"
51,52,15.04,Carlos Hyde,RB,HOU,143.8,18.5,7.06,15.03,122,"
"
52,53,15.08,Damien Harris,RB,NE,148.2,11.1,10.04,15.02,40,"
"
53,54,15.10,Ronald Jones II,RB,TB,150.1,17.1,9.01,15.06,31,"
"
54,55,16.04,Ito Smith,RB,ATL,153.7,15.3,10.11,15.10,57,"
"
55,56,16.05,Dion Lewis,RB,TEN,155.0,14.3,11.01,15.08,40,"
"
56,57,16.07,CJ Anderson,RB,FA,156.8,13.4,12.07,15.09,18,"
"
57,58,16.07,Ty Montgomery,RB,NYJ,157.3,19.0,10.04,15.12,15,"
"
58,59,16.09,Dare Ogunbowale,RB,TB,159.5,22.8,9.07,16.03,15,"
"
59,60,17.07,Malcolm Brown,RB,LAR,166.9,14.1,11.01,15.12,30,"
"
