,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,2.08,Travis Kelce,TE,KC,17.8,3.5,1.04,2.12,114,"
"
1,2,4.01,George Kittle,TE,SF,31.1,5.0,1.11,4.07,100,"
"
2,3,4.07,Zach Ertz,TE,PHI,37.3,4.5,2.11,4.12,105,"
"
3,4,6.04,O.J. Howard,TE,TB,54.1,5.9,3.12,6.05,62,"
"
4,5,6.10,Evan Engram,TE,NYG,60.0,7.8,2.12,6.11,72,"
"
5,6,7.04,Hunter Henry,TE,LAC,63.9,5.7,4.08,7.01,74,"
"
6,7,8.03,Jared Cook,TE,NO,72.9,4.5,6.04,7.11,53,"
"
7,8,8.08,Vance McDonald,TE,PIT,77.8,6.4,6.02,9.02,56,"
"
8,9,9.04,David Njoku,TE,CLE,83.8,7.9,6.09,9.05,37,"
"
9,10,10.09,Delanie Walker,TE,TEN,98.7,14.0,7.06,11.12,46,"
"
10,11,11.10,Eric Ebron,TE,IND,109.9,17.4,7.01,12.10,45,"
"
11,12,13.10,Mark Andrews,TE,BAL,129.7,16.3,6.11,14.06,102,"
"
12,13,13.10,Trey Burton,TE,CHI,130.3,17.6,7.05,13.10,56,"
"
13,14,15.09,Austin Hooper,TE,ATL,149.2,21.1,7.01,15.12,129,"
"
14,15,15.10,T.J. Hockenson,TE,DET,149.7,20.6,7.01,15.12,122,"
"
15,16,16.05,Jordan Reed,TE,WAS,155.1,24.9,9.01,15.12,20,"
"
16,17,16.06,Greg Olsen,TE,CAR,156.1,24.7,4.10,15.12,63,"
"
