,#,Pick,Name,Pos,Team,Bye,Overall,Std.Dev,High,Low,TimesDrafted,Graph
0,1,10.10,Buffalo Defense,DEF,BUF,7,117.7,11.1,8.01,12.03,39,"

"
1,2,11.10,LA Rams Defense,DEF,LAR,7,130.3,12.9,8.10,12.08,11,"

"
2,3,12.04,Tampa Bay Defense,DEF,TB,11,136.0,12.0,9.08,13.04,11,"

"
3,4,13.03,San Francisco Defense,DEF,SF,9,147.4,8.5,12.07,14.05,10,"

"
4,5,13.04,Pittsburgh Defense,DEF,PIT,9,147.9,12.8,10.11,14.04,8,"

"
5,6,13.04,Indianapolis Defense,DEF,IND,14,147.9,12.2,10.07,14.06,13,"

"
6,7,14.01,LA Chargers Defense,DEF,LAC,8,157.4,7.3,13.07,15.11,71,"

"
7,8,14.11,Denver Defense,DEF,DEN,9,167.2,30.7,7.08,16.07,17,"

"
8,9,15.03,Dallas Defense,DEF,DAL,9,171.1,9.7,14.01,16.02,7,"

"
9,10,15.08,Green Bay Defense,DEF,GB,14,175.7,46.4,3.05,18.01,13,"

"
10,11,15.12,Philadelphia Defense,DEF,PHI,7,180.4,15.8,13.07,18.06,19,"

"
11,12,16.05,New Orleans Defense,DEF,NO,14,185.2,8.1,15.01,17.09,17,"

"
12,13,16.12,New England Defense,DEF,NE,10,192.3,13.4,15.01,18.05,13,"

"
13,14,17.03,Baltimore Defense,DEF,BAL,10,194.8,7.3,16.05,18.04,12,"

"
