,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,13.01,Greg Zuerlein,PK,LAR,144.8,9.9,9.09,14.01,168,"
"
1,2,13.02,Harrison Butker,PK,KC,146.0,13.7,9.06,14.04,41,"
"
2,3,13.05,Justin Tucker,PK,BAL,149.4,8.6,10.05,14.03,87,"
"
3,4,13.10,Stephen Gostkowski,PK,NE,154.2,14.1,11.01,15.01,25,"
"
4,5,14.03,Wil Lutz,PK,NO,159.2,3.9,12.12,14.11,35,"
"
5,6,14.04,Kaimi Fairbairn,PK,HOU,160.2,10.9,10.05,15.09,28,"
"
6,7,14.09,Robbie Gould,PK,SF,164.9,4.0,14.05,15.06,19,"
"
7,8,14.12,Jake Elliott,PK,PHI,168.0,5.1,14.06,15.11,17,"
"
8,9,15.01,Michael Badgley,PK,LAC,168.7,4.8,14.06,15.11,17,"
"
9,10,15.02,Mason Crosby,PK,GB,169.8,2.8,14.10,15.08,24,"
"
10,11,15.03,Matt Prater,PK,DET,171.2,5.2,14.07,15.10,13,"
"
11,12,15.04,Brett Maher,PK,DAL,172.0,10.4,11.01,16.06,32,"
"
12,13,15.04,Dan Bailey,PK,MIN,172.3,4.8,14.10,15.12,18,"
"
