,#,Pick,Name,Pos,Team,Bye,Overall,Std.Dev,High,Low,TimesDrafted,Graph
0,1,1.05,Cooper Kupp,WR,LAR,7,5.2,1.9,1.03,1.08,29,"

"
1,2,1.06,Justin Jefferson,WR,MIN,7,6.1,1.7,1.01,1.09,32,"

"
2,3,1.10,Ja'Marr Chase,WR,CIN,10,9.8,1.7,1.02,2.01,59,"

"
3,4,1.12,Davante Adams,WR,LV,6,12.0,2.7,1.07,2.06,26,"

"
4,5,1.14,Stefon Diggs,WR,BUF,7,13.7,3.3,1.10,2.07,114,"

"
5,6,2.06,CeeDee Lamb,WR,DAL,9,19.7,1.8,2.05,3.02,36,"

"
6,7,2.08,Tyreek Hill,WR,MIA,11,21.6,3.4,1.12,3.02,26,"

"
7,8,2.08,Mike Evans,WR,TB,11,21.7,4.0,2.05,3.07,45,"

"
8,9,2.10,A.J. Brown,WR,PHI,7,23.9,4.0,2.06,3.06,19,"

"
9,10,2.14,Deebo Samuel,WR,SF,9,28.0,21.4,2.03,10.10,21,"

"
10,11,3.03,Keenan Allen,WR,LAC,8,30.9,2.0,3.04,3.11,23,"

"
11,12,3.05,Tee Higgins,WR,CIN,10,32.6,6.3,2.06,4.03,27,"

"
12,13,3.08,Michael Pittman Jr.,WR,IND,14,36.2,4.7,3.04,5.01,68,"

"
13,14,3.09,Terry McLaurin,WR,WAS,14,36.8,3.5,3.08,4.11,25,"

"
14,15,3.13,D.K. Metcalf,WR,SEA,11,40.7,4.0,3.10,4.10,16,"

"
15,16,4.01,Diontae Johnson,WR,PIT,9,42.8,5.0,3.09,5.03,16,"

"
16,17,4.01,DeAndre Hopkins,WR,ARI,13,43.2,4.6,3.08,5.04,16,"

"
17,18,4.05,Jaylen Waddle,WR,MIA,11,47.2,4.6,4.02,5.05,28,"

"
18,19,4.09,D.J. Moore,WR,CAR,13,50.8,5.2,4.03,5.11,42,"

"
19,20,4.11,Mike Williams,WR,LAC,8,53.0,7.5,4.03,6.07,74,"

"
20,21,4.12,Michael Thomas,WR,NO,14,54.2,5.6,4.07,6.03,24,"

"
21,22,5.01,Chris Godwin,WR,TB,11,56.6,6.2,4.09,6.11,24,"

"
22,23,5.02,Adam Thielen,WR,MIN,7,57.8,8.4,4.07,6.10,21,"

"
23,24,5.04,Jerry Jeudy,WR,DEN,9,59.7,3.5,5.02,6.04,27,"

"
24,25,5.07,Amari Cooper,WR,CLE,9,62.8,6.9,5.05,6.12,8,"

"
25,26,5.09,Allen Robinson,WR,LAR,7,65.2,4.9,5.01,7.03,48,"

"
26,27,5.11,Marquise Brown,WR,ARI,13,66.8,3.5,6.01,7.01,18,"

"
27,28,5.11,Courtland Sutton,WR,DEN,9,67.0,7.2,4.03,7.11,162,"

"
28,29,5.13,Brandin Cooks,WR,HOU,6,68.8,7.1,5.09,7.08,20,"

"
29,30,6.03,Gabriel Davis,WR,BUF,7,72.7,5.9,4.10,7.12,79,"

"
30,31,6.08,DeVonta Smith,WR,PHI,7,77.9,7.4,6.05,8.08,27,"

"
31,32,6.13,Hunter Renfrow,WR,LV,6,83.0,18.9,6.05,12.01,10,"

"
32,33,6.14,Darnell Mooney,WR,CHI,14,84.2,4.9,7.03,8.07,13,"

"
33,34,7.01,Cordarrelle Patterson,WR,ATL,14,84.6,7.9,6.05,9.02,30,"

"
34,35,7.02,Amon-Ra St. Brown,WR,DET,6,85.7,7.2,6.08,9.08,29,"

"
35,36,7.02,Elijah Moore,WR,NYJ,10,86.2,7.5,7.06,9.04,18,"

"
36,37,7.08,JuJu Smith-Schuster,WR,KC,8,91.5,6.2,6.12,9.07,42,"

"
37,38,7.09,Rashod Bateman,WR,BAL,10,93.1,5.2,7.01,9.06,55,"

"
38,39,7.13,Brandon Aiyuk,WR,SF,9,97.0,10.2,6.03,9.12,23,"

"
39,40,8.04,Tyler Lockett,WR,SEA,11,101.9,8.6,8.02,10.03,14,"

"
40,41,8.09,Allen Lazard,WR,GB,14,107.2,8.8,8.05,11.03,59,"

"
41,42,8.09,Kadarius Toney,WR,NYG,9,107.4,7.1,8.06,10.12,26,"

"
42,43,8.10,Russell Gage,WR,TB,11,107.6,7.0,8.09,10.11,11,"

"
43,44,9.01,Christian Kirk,WR,JAX,11,113.2,7.4,8.09,11.03,27,"

"
44,45,9.01,Robert Woods,WR,TEN,6,113.4,9.2,7.11,11.08,27,"

"
45,46,9.02,Michael Gallup,WR,DAL,9,114.5,6.8,9.05,11.04,14,"

"
46,47,9.11,Marquez Valdes-Scantling,WR,KC,8,122.7,6.3,10.06,12.02,16,"

"
47,48,9.11,Skyy Moore,WR,KC,8,123.4,4.6,10.08,11.09,14,"

"
48,49,10.03,Chris Olave,WR,NO,14,128.7,11.0,9.09,13.07,27,"

"
49,50,10.05,Chase Claypool,WR,PIT,9,130.8,19.8,8.08,16.09,19,"

"
50,51,10.07,Jarvis Landry,WR,NO,14,132.7,8.0,10.11,12.12,6,"

"
51,52,10.09,Treylon Burks,WR,TEN,6,135.2,6.1,11.07,13.02,8,"

"
52,53,10.10,Drake London,WR,ATL,14,136.4,16.7,9.05,14.09,28,"

"
53,54,10.12,DeVante Parker,WR,NE,10,137.7,4.3,11.11,12.11,9,"

"
54,55,11.02,Julio Jones,WR,TB,11,141.6,17.4,9.12,17.11,30,"

"
55,56,11.10,George Pickens,WR,PIT,9,149.9,24.3,9.10,17.06,28,"

"
56,57,11.14,Christian Watson,WR,GB,14,153.6,8.6,12.04,15.03,11,"

"
57,58,12.02,Kenny Golladay,WR,NYG,9,156.4,9.5,12.03,15.02,14,"

"
58,59,12.04,Romeo Doubs,WR,GB,14,158.2,17.2,11.10,17.06,23,"

"
59,60,12.06,Nico Collins,WR,HOU,6,159.5,21.2,12.05,16.11,6,"

"
60,61,12.07,Garrett Wilson,WR,NYJ,10,161.3,13.5,12.01,15.07,9,"

"
61,62,12.11,Jalen Tolbert,WR,DAL,9,165.3,16.5,13.01,17.10,12,"

"
62,63,13.02,Tyler Boyd,WR,CIN,10,169.7,19.2,9.11,16.10,19,"

"
63,64,13.03,Jameson Williams,WR,DET,6,171.4,20.1,13.02,18.06,13,"

"
64,65,13.07,Mecole Hardman,WR,KC,8,175.0,19.8,12.08,17.07,15,"

"
65,66,13.12,Van Jefferson,WR,LAR,7,180.2,13.9,14.02,17.07,9,"

"
66,67,14.01,Jahan Dotson,WR,WAS,14,183.0,19.6,10.10,18.03,19,"

"
67,68,14.01,D.J. Chark,WR,DET,6,183.2,16.2,13.05,17.11,9,"

"
68,69,14.03,Rondale Moore,WR,ARI,13,184.8,22.4,13.08,17.09,4,"

"
69,70,14.05,Marvin Jones,WR,JAX,11,186.6,9.7,15.08,17.12,9,"

"
70,71,14.09,Jamison Crowder,WR,BUF,7,190.8,10.5,15.08,18.01,12,"

"
71,72,14.12,Randall Cobb,WR,GB,14,194.0,14.3,15.05,17.11,4,"

"
72,73,14.14,Isaiah McKenzie,WR,BUF,7,195.8,12.1,16.04,18.05,4,"

"
73,74,15.01,K.J. Osborn,WR,MIN,7,196.6,16.1,15.09,18.05,5,"

"
